ud,he,d,woman
0,23.06667,1,1
0,16.2,1,1
0,18,1,1
0,7.3,1,1
0,18.275,1,1
0,32.05,1,1
0,7,1,1
0,23.75,1,1
0,20,1,1
0,13.71429,1,1
0,23.8,1,1
0,9.24,1,1
0,12.7,1,1
0,22.6,1,1
0,14.8,1,1
0,26.22727,1,1
0,7.93,1,1
0,32.46667,1,1
0,18.25,1,1
0,8,1,1
0,17.5,1,1
0,15.84,1,1
0,18.71,1,1
0,11.85714,1,1
0,15.59459,1,1
0,27.06667,1,1
0,16.35,1,1
0,14,1,1
0,45,1,1
0,10,1,1
0,7,1,1
0,13.75,1,1
0,18.46,1,1
0,23.08571,1,1
0,18.5,1,1
0,11.89474,1,1
0,8.4,1,1
0,18.46,1,1
0,20,1,1
0,15,1,1
0,23.06,1,1
0,19,1,1
0,13.95,1,1
0,12.5,1,1
0,15.15,1,1
0,24.05,1,1
0,16,1,1
0,26.525,1,1
0,18.8,1,1
0,23.08,1,1
0,3.844445,1,1
0,18.65,1,1
0,13.45,1,1
0,48.075,1,1
0,12,1,1
0,12.2,1,1
0,11.17,1,1
0,10,1,1
0,10,1,1
0,18,1,1
0,21.25,1,1
0,21.97143,1,1
0,15.58,1,1
0,12,1,1
0,10,1,1
0,23.08,1,1
9,0,0,1
0,3.844445,1,1
0.9230769,0,0,1
2.307692,0,0,1
0,18.96,1,1
0,32.05,1,1
0,14,1,1
0,5.476191,1,1
0,12.5,1,1
0,8,1,1
6,0,0,1
0,23.075,1,1
0,8.25,1,1
0,21,1,1
0,10,1,1
0,5.5,1,1
0,7,1,1
0,10,1,1
0,19.1,1,1
0,38.46,1,1
0,40,1,1
0,14.1579,1,1
0,39.9,1,1
0,9.625,1,1
0,19.24,1,1
0,24.04,1,1
0,25.475,1,1
0,21.625,1,1
0,21.54,1,1
0,11,1,1
0,15.35,1,1
0,8,1,1
0,20,1,1
0,17.99,1,1
0,9.2,1,1
0,6.25,1,1
0,25,1,1
0,8.444445,1,1
0,20,1,1
0,3.875,1,1
3.230769,0,0,1
0,5.133333,1,1
0,19.25,1,1
0,11.35294,1,1
0,20.9,1,1
2.076923,0,0,1
0,11.1,1,1
0,10.23,1,1
0,9,1,1
0,13.88889,1,1
0,16.5,1,1
0,13.26,1,1
0,12.6579,1,1
0,5.25,1,1
0,30,1,1
0,15.4,1,1
0,5.25,1,1
0,20.2,1,1
0,21.625,1,1
0,25,1,1
0,8.65,1,1
0,16.16364,1,1
0,5.25,1,1
11.07692,0,0,1
0,17.08889,1,1
0,9,1,1
0,26.66667,1,1
0,17.92,1,1
0,9,1,1
0,11.18182,1,1
0,16.66667,1,1
0,9.625,1,1
0,26.425,1,1
0,19.225,1,1
0,25.4,1,1
0,9,1,1
0,15.375,1,1
0,17.8,1,1
0,37.65,1,1
0,17.8,1,1
0,22.22222,1,1
0,18.75,1,1
0,21.76,1,1
0,10.7381,1,1
0,36.925,1,1
0,26.25714,1,1
0,19.2,1,1
0,32.04445,1,1
0,6.4,1,1
0,25.63333,1,1
0,6,1,1
0,25.64444,1,1
0,21,1,1
0,11.16,1,1
0,16.48571,1,1
0,5.5,1,1
0,22.22,1,1
0,16.825,1,1
0,15.875,1,1
0,25.76,1,1
0,22.1,1,1
0,8.77,1,1
0,29.58462,1,1
0,20.675,1,1
0,16.92,1,1
0,19.23684,1,1
0,21.625,1,1
0,19.7,1,1
0,8,1,1
0,19.25,1,1
0,17.09091,1,1
0,18,1,1
0,25.18182,1,1
0,27.65,1,1
0,21.225,1,1
0,23.93333,1,1
0,1.25,1,1
0,8.65,1,1
0,8.5,1,1
0,15,1,1
0,21.625,1,1
0,8.65,1,1
0,6,1,1
0,5,1,1
0,26.45,1,1
0,18.84,1,1
0,2.1,1,1
0,11.58333,1,1
0,17.825,1,1
0,9.8,1,1
0,21.625,1,1
0,12,1,1
0,13.225,1,1
0,29.58462,1,1
0,13.11364,1,1
0,9.5,1,1
0.4615385,0,0,1
0,9.6,1,1
0,23.55,1,1
0,7,1,1
0,23,1,1
0,12,1,1
0,14.9,1,1
0,19.225,1,1
0,27.23,1,1
0,16.35,1,1
